clubs,djs,genres
 40seconds Club,lilith-ge,dub techno
 40seconds Club,upsammy,dance pop
 40seconds Club,richii,dub techno
 40seconds Club,samkoh,chanson
 40seconds Club,smuseb,compositional ambient
 Abspannwerk Buchhändlerhof,nicholasmaddix,east coast hip hop
 Abspannwerk Buchhändlerhof,djminx,electro-pop francais
 Abspannwerk Buchhändlerhof,rom3o3-de,detroit house
 Abspannwerk Buchhändlerhof,tereza,ethnotronica
 Abspannwerk Buchhändlerhof,viktorkampf,electro-pop francais
 Abspannwerk Buchhändlerhof,templeton,golden age hip hop
 Abspannwerk Buchhändlerhof,ottolebowski,frankfurt electronic
 Abspannwerk Buchhändlerhof,camillarae,uk dancehall
 Abspannwerk Buchhändlerhof,vril,german dance
 Abspannwerk Buchhändlerhof,frankieflowerz,georgian electronic
 Adagio Berlin,matisa,australian dance
 Adagio Berlin,andrekronert,armenian pop
 Adagio Berlin,lokindre,turkish edm
 Adagio Berlin,guedraguedra,nouvelle chanson francaise
 Adagio Berlin,lysas,preschool children's music
 Adagio Berlin,mallgrab,slovak hip hop
 Arena Berlin,sofilucius,happy hardcore
 Arena Berlin,aimeyou,eurovision
 Arena Berlin,zoe-vita,melodic techno
 Arena Berlin,mysteryaffair,anadolu rock
 Arena Berlin,sonjamoonear,urbano espanol
 Arena Berlin,edward,alternative hip hop
 Arena Berlin,elios,orchestral soundtrack
 Arena Berlin,e-saggila,east coast hip hop
 Arena Berlin,magdaelbayoumi,indie soul
 Arena Berlin,wolke,chanson quebecois
 Arena Berlin,julezwyl,italo dance
 Arena Berlin,bethalana,australian techno
 Astra Kulturhaus,jamesnewmarch,deep tropical house
 Astra Kulturhaus,jamaicasuk,arab electronic
 Astra Kulturhaus,bassdee,mandible
 Astra Kulturhaus,koimclub,georgian pop
 Astra Kulturhaus,paulahilton,swedish hip hop
 Astra Kulturhaus,shadym,neo mellow
 Astra Kulturhaus,mcmlxxxv,conscious hip hop
 Badehaus Berlin,mdsm,slovak hip hop
 Badehaus Berlin,jelena,turkce remix
 Badehaus Berlin,survey,melodic techno
 Badehaus Berlin,npoint_o,edm
 Badehaus Berlin,lolsnake,classical tenor
 Badehaus Berlin,voicedrone,canadian electronic
 Badehaus Berlin,monoloc,swedish pop rap
 Badehaus Berlin,maayannidam,swedish pop rap
 Badehaus Berlin,moodymann,violin
 Ballhaus Spandau,missbashfulxdbbd,industrial techno
 Ballhaus Spandau,p%C3%A2ris.,gen z singer-songwriter
 Ballhaus Spandau,thecheckup,pop dance
 Ballhaus Spandau,berf,australian electropop
 Ballhaus Spandau,tamila,acid techno
 Ballhaus Spandau,kancheli,schranz
 Ballhaus Spandau,vpallowed,georgian alternative
 Ballhaus Spandau,jannan,turkish trap
 Ballhaus Spandau,benjaminknows,hamburg electronic
 Ballhaus Spandau,rodmin,york indie
 Ballhaus Spandau,senu,shimmer pop
 Bang Bang Club,vansohl-uk,britpop
 Bang Bang Club,nuria,acid techno
 Bang Bang Club,irakli,turkish hip hop
 Bang Bang Club,giraffidog-de,polish techno
 Bang Bang Club,orlandorose,hamburg electronic
 Bang Bang Club,diwa,australian pop
 Bang Bang Club,adammunnings,belgian pop
 Bang Bang Club,denispolyakov,gabba
 Bang Bang Club,arni,electro-pop francais
 Bar 25,djdannyrussell,experimental house
 Bar 25,o.bee,slovak hip hop
 Bar 25,epicx,rock uruguayo
 Bar 25,larshemmerling,experimental house
 Bar 25,markusklee,fotbollslatar
 Bar 25,happynewtears,french indietronica
 Bar 25,ezy,acid techno
 Bassy Cowboy Club,dominikvaillant,gangster rap
 Bassy Cowboy Club,cem,swedish hip hop
 Bassy Cowboy Club,dav3,neo mellow
 Bassy Cowboy Club,daxj,belgian indie
 Bassy Cowboy Club,fractions,georgian electronic
 Berghain,annaschreit,turkish folk
 Berghain,jackteck,australian techno
 Berghain,israelvich,anadolu rock
 Berghain,hilu,minimal techno
 Berghain,ericavanberger,georgian pop
 Berghain,ballchain,emo rap
 Berghain,ida,experimental techno
 Berghain,biankabanks,turkish folk
 Berghain,zeitfrei,compositional ambient
 Berghain,shlomsen,german tech house
 Berghain,ralfkollmann,danish electropop
 Berghain,ednamartinez,electropop
 Berghain,mejle,electro-pop francais
 Berghain,objectortrax,georgian electronic
 Big Eden,rerick,industrial techno
 Big Eden,unpolished-de,czsk hip hop
 Big Eden,boydschidt,electronica
 Big Eden,bazeja,mandible
 Big Eden,quest,focus beats
 Bunker (Berlin),berny,italo dance
 Bunker (Berlin),JavierAnxiety,classic french pop
 Bunker (Berlin),orson,conscious hip hop
 Bunker (Berlin),hubble,dance rock
 Bunker (Berlin),trikk,turkce remix
 Bunker (Berlin),mrtc,belgian indie
 Bunker (Berlin),djpete,experimental house
 Bunker (Berlin),alxj,french indie pop
 Bunker (Berlin),batty,nantes indie
 Bunker (Berlin),tanzunterfreunden,violin
 Bunker (Berlin),slin,jazz cover
 Bunker (Berlin),lilianechlela,new french touch
 Cassiopeia (Berlin),lucyb,organic electronic
 Cassiopeia (Berlin),djfuckshimself,york indie
 Cassiopeia (Berlin),davidlohlein,compositional ambient
 Cassiopeia (Berlin),blawan,georgian pop
 Cassiopeia (Berlin),nathandawidowicz,pibroch
 Cassiopeia (Berlin),sabinehoffmann,german house
 Cassiopeia (Berlin),mohajer,organic house
 Cassiopeia (Berlin),jackclark,organic electronic
 Cassiopeia (Berlin),zorz,polish techno
 Cassiopeia (Berlin),moktar,pop
 Cassiopeia (Berlin),dmonk-2,rock uruguayo
 Club der Visionäre,eivydask,downtempo
 Club der Visionäre,marcacardipane,violin
 Club der Visionäre,donna,uk dancehall
 Club der Visionäre,ennio,britpop
 Club der Visionäre,inverseelement,french indietronica
 Club der Visionäre,berlinbunny,nz pop
 Club der Visionäre,ahu,fotbollslatar
 Club der Visionäre,goldenaxe,ragga jungle
 Cookies Berlin,greenvision,hardcore techno
 Cookies Berlin,coco,german techno
 Cookies Berlin,craigwhite,float house
 Die Busche,sabura,alternative hip hop
 Die Busche,fairhurst,electronica
 Die Busche,thomasmelchior,detroit house
 Die Busche,eliverveine,glitch
 Die Busche,anjazaube,violin
 Die Busche,sciarada,happy hardcore
 Die Busche,carlosdebrito,aussietronica
 Die Busche,aadja-ca,fotbollslatar
 Die Busche,unprofessional-de,czsk hip hop
 Die Busche,florianrietze,turkish pop
 Die Busche,zopelar,techno
 Die Busche,valentin,electro house
 Die Busche,dennisbeutler,indietronica
 Eimer (Berlin),travis,scottish fiddle
 Eimer (Berlin),frankyjones,shimmer pop
 Eimer (Berlin),haito,gabba
 Eimer (Berlin),davis-br,arabesk
 Eimer (Berlin),annalee,minimal techno
 Eimer (Berlin),lenabrumby,minimal dub
 Eimer (Berlin),dewalta,vapor twitch
 Eimer (Berlin),314,electronica
 Eimer (Berlin),tomtalenberg-de,ninja
 Eimer (Berlin),asemshama,york indie
 Eimer (Berlin),montyluke,happy hardcore
 Eimer (Berlin),jotelcalifornia,outsider house
 Felix ClubRestaurant,juanramos,eurovision
 Felix ClubRestaurant,patyvapor,belgian pop
 Felix ClubRestaurant,bjarki,organic electronic
 Geburtstagsklub,empro,deep soul house
 Geburtstagsklub,barbarapreisinger,emo rap
 Geburtstagsklub,turkfin,acid techno
 Geburtstagsklub,ruffstuff,czsk hip hop
 Geburtstagsklub,lulipanasci,dutch edm
 Geburtstagsklub,kosh-212,east coast hip hop
 Geburtstagsklub,lada,french pop
 Goya (club),alessandroadriani,float house
 Goya (club),revivis,australian pop
 Goya (club),franzunderwear,compositional ambient
 Goya (club),henriku,gabba
 Goya (club),ishansound,modern reggae
 Goya (club),ojoogyal,danish electronic
 Goya (club),lisbird,compositional ambient
 Goya (club),missmelera,georgian alternative
 Goya (club),hybral,lo-fi chill
 Goya (club),souci,organic house
 Goya (club),djvalentimes,classical tenor
 Goya (club),bigmurk,coverchill
 Goya (club),oliverraumklang,glitch
 Goya (club),qasio-cl,belgian indie
 Goya (club),fr.jpla,alternative dance
 Goya (club),kimbergstrand,bleep techno
 Goya (club),dinosabatini,progressive house
 Goya (club),timesnewroman,jazz cover
 Goya (club),minco,electronica
 Goya (club),los-co,auteur-compositeur-interprete quebecois
 Goya (club),abnama,electro-pop francais
 Hafenbar,andreaskraemer,new french touch
 Hafenbar,flemishfetish-de,alternative dance
 Hafenbar,magdita,indietronica
 Hafenbar,catelle,intelligent dance music
 Hafenbar,patricklindsey,dance pop
 Hafenbar,mikestarr,urbano espanol
 Hafenbar,estellaboersma,emo rap
 Hafenbar,eleluz,german house
 Hafenbar,josianedemut,minimal techno
 Hafenbar,andrevii,neo mellow
 Hafenbar,lawrence,hungarian edm
 Hafenbar,julin.more,downtempo
 Hafenbar,kangdingray,nantes indie
 Hafenbar,monibi,dance rock
 Hoppetosse,bockfuchs,indie soul
 Hoppetosse,bint7alal,fotbollslatar
 Hoppetosse,nataschakann,classical
 Hoppetosse,jensmahlstedt,turkish rock
 Hoppetosse,erikjaahalli,german house
 Hoppetosse,keene,hungarian edm
 Hoppetosse,alexandra,experimental techno
 Hoppetosse,rhyw,electro house
 Hoppetosse,daza,preschool children's music
 Kater Blau,alexroth,anadolu rock
 Kater Blau,wllkr,experimental techno
 Kater Blau,n.r.m,georgian electronic
 Kater Blau,buttechno,focus beats
 Kater Blau,arno,happy hardcore
 Kater Blau,surusinghe,gabba
 Kater Blau,shero-de,armenian hip hop
 Kater Blau,djjordan,conscious hip hop
 Kater Blau,djtjizza,classical era
 Kater Blau,jacobphono,chanson
 Kater Blau,hops,float house
 Kater Blau,djdag,kurdish pop
 Kater Holzig,spray,arab electronic
 Kater Holzig,oldyungmayn,anadolu rock
 Kater Holzig,siopis,anadolu rock
 Kater Holzig,blazejmalinowski,turkce remix
 Kater Holzig,kaufmann,belgian indie
 Kater Holzig,garo,deep soul house
 Kater Holzig,chrisa.k.a.derandere,focus beats
 Kater Holzig,balkhausen,kurdish pop
 Kater Holzig,sleeptwitch,aussietronica
 Kater Holzig,francis9,urbano espanol
 Kiki Blofeld,karenn,chanson
 Kiki Blofeld,s.c.d.d.hazmatteam,aussietronica
 Kiki Blofeld,johannesalbert,indie soul
 Kiki Blofeld,stephaniesykes,australian electropop
 Kiki Blofeld,djraff,golden age hip hop
 Kiki Blofeld,bours,urbano espanol
 Kiki Blofeld,dennyhanson,french indietronica
 Kiki Blofeld,nephews,german dance
 Kiki Blofeld,kobzev,hungarian edm
 KitKatClub,normannodge,violin
 KitKatClub,marsman,new french touch
 KitKatClub,phonetraxxx,glitch
 KitKatClub,abyssx,german dance
 KitKatClub,filou,swedish pop rap
 KitKatClub,131bpm,minimal dub
 KitKatClub,jenslissat,australian techno
 KitKatClub,kurilo,chanson quebecois
 KitKatClub,mtvare,alternative hip hop
 KitKatClub,benten,coverchill
 KitKatClub,djaya,chanson
 KitKatClub,roji,arab electronic
 KitKatClub,skinonskin,classical era
 Klub der Republik ,roniamitai,lo-fi beats
 Klub der Republik ,estherdune,hardcore techno
 Klub der Republik ,simonk,eurovision
 Klub der Republik ,k-paul,french indietronica
